date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-04-26,-3130928750.0168,141.4831,90.0000,0.0000,23654900,126.6500,3.1221,86.7000,52.5027,129.8900,0.6923,85.3018,2.4298,130.5150,133.9065,119.3935,123.8920,129.7000,129.0200,81.7641,-2075898200.0000,124.8295
2019-04-29,-3130732072.9084,108.4820,80.0000,20.0000,16324200,127.8520,3.3455,82.7511,55.4923,129.7700,0.7325,85.5836,2.6129,130.1800,134.3436,121.3604,124.8180,129.9000,129.3500,79.9705,-2092222400.0000,125.7514
2019-04-30,-3110269251.0693,90.1407,70.0000,10.0000,24166500,128.8840,3.4751,81.7694,58.2841,130.6000,0.6898,84.7709,2.7854,130.7000,134.8570,122.9110,125.7050,129.8100,129.3950,83.5736,-2068055900.0000,126.4893
2019-05-01,-3133817794.4592,46.6119,60.0000,0.0000,26821700,129.4580,3.5946,73.6751,57.6370,127.8800,0.6474,85.9562,2.9472,130.6500,132.1987,126.7173,126.5940,130.5300,127.7000,57.4812,-2094877600.0000,127.2240
2019-05-02,-3145948931.5559,-14.0986,50.0000,0.0000,27350200,128.8700,3.4438,58.9054,54.0554,126.2100,0.3973,65.8021,3.0465,128.0000,133.6885,124.0515,127.2680,127.9800,125.5200,35.6614,-2122227800.0000,127.3615
2019-05-03,-3133150568.2532,25.9218,40.0000,0.0000,24911100,128.6720,3.2369,40.3227,51.8160,128.9000,0.1523,61.8823,3.0846,129.4300,133.2539,124.0901,127.7850,127.3600,127.2500,27.8254,-2097316700.0000,127.3612
2019-05-06,-3117018269.3743,-20.5913,30.0000,0.0000,24239800,128.3480,2.9606,35.5338,48.4782,128.1500,-0.0992,56.0756,3.0598,128.5600,132.6340,124.0620,128.1620,126.3900,126.1084,43.1145,-2121556500.0000,127.1846
2019-05-07,-3121398800.4554,-108.9460,20.0000,0.0000,36017700,127.3320,2.7159,38.7845,43.6321,125.5200,-0.2751,56.4036,2.9910,127.1800,131.1197,123.5443,128.3980,126.4600,124.2200,45.4136,-2157574200.0000,127.0529
2019-05-08,-3123153059.7146,-118.6941,10.0000,90.0000,28419000,126.8580,2.4119,40.1483,39.2707,125.5100,-0.4633,50.3195,2.8752,126.3700,131.0722,122.6438,128.3630,125.4400,124.7500,31.9167,-2185993200.0000,126.7596
2019-05-09,-3103032919.1741,-110.8489,0.0000,100.0000,27235800,126.7160,2.0549,34.4338,36.4183,125.5000,-0.6562,44.3524,2.7111,125.7900,131.2039,122.2281,127.7865,124.2950,123.5700,25.9710,-2213229000.0000,126.3115
